出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"113/04/02","113/3","1414","東和","紡織纖維","54426","38876","55210","39.99897108756045","-1.4200326027893497","140121","139221","0.6464541987200206","-"
"113/04/02","113/3","1436","華友聯","建材營造","2391","15230","18588","-84.30072225869993","-87.13686249193027","20084","22872","-12.189576775096187","本月及累計營收較去年同期減少，係今年交屋數量較去年同期減少所致。"
"113/04/02","113/3","1452","宏益","紡織纖維","135810","83274","107333","63.088118740543266","26.53144885543123","332004","259858","27.76362474890132","-"
"113/04/02","113/3","1477","聚陽","紡織纖維","3127137","2726304","2793020","14.702432303954364","11.962570980515714","8608029","7834261","9.87671970591738","-"
"113/04/02","113/3","1560","中砂","電機機械","549351","500762","575725","9.703012608784213","-4.581006556949933","1595178","1562510","2.0907386192728366","-"
"113/04/02","113/3","2397","友通","電腦及週邊設備業","662852","551679","1460568","20.151754915449022","-54.61683399882785","1906186","3820041","-50.10037850379093","對比去年同期，本月合併營收減少54.62%，本年累計合併營收減少50.10%，主係減少合併子公司Brainstorm Corporation股權所致。"
"113/04/02","113/3","2402","毅嘉","電子零組件業","684470","632740","725229","8.175553940006953","-5.620155840431091","1999441","1922969","3.9767671761739267","-"
"113/04/02","113/3","2419","仲琦","通信網路業","900842","573801","992147","56.99554375123083","-9.202769347687388","2109786","2810622","-24.935263439907608","-"
"113/04/02","113/3","2809","京城銀","金融保險業","950919","1100524","158293","-13.593978868248216","500.73344999463023","2992095","2055656","45.554265888845215","單月營收增加，係去年有認列俄羅斯債券損失。"
"113/04/02","113/3","3004","豐達科","鋼鐵工業","300362","247263","263184","21.474705071118606","14.12623867712323","835060","696479","19.897369482784118","-"
"113/04/02","113/3","3023","信邦","電子零組件業","2807213","2503571","2898530","12.128355856494583","-3.1504590257820344","8020287","8513463","-5.792895323559872","-"
"113/04/02","113/3","3030","德律","其他電子業","633795","410992","626077","54.21103087164714","1.2327557153513067","1510654","1166911","29.457516468693843","本公司本月營收較上月增加54%，主要係因電腦、汽車電子以及半導體之終端產業應用對本公司產品之需求增加所致"
"113/04/02","113/3","3168","眾福科","光電業","306908","272366","373075","12.682199687185625","-17.735575956577097","861386","1069599","-19.46645425061168","-"
"113/04/02","113/3","3380","明泰","通信網路業","2189934","1356575","3357415","61.43110406722813","-34.773210937581446","5180200","7869340","-34.172370236894075","-"
"113/04/02","113/3","3432","台端","電子零組件業","2384","1119","2133","113.04736371760501","11.767463666197843","5980","4313","38.65059123579875","-"
"113/04/02","113/3","3530","晶相光","半導體業","113300","70373","155749","60.999246870248534","-27.2547496292111","346792","418418","-17.118288410154438","-"
"113/04/02","113/3","3591","艾笛森","光電業","181798","165812","155323","9.641039249270257","17.045125319495504","549394","449388","22.253820751777972","-"
"113/04/02","113/3","4961","天鈺","半導體業","1552077","944227","1481489","64.37540972668648","4.7646658193209666","3722907","3936819","-5.43362547274843","-"
"113/04/02","113/3","6112","邁達特","資訊服務業","1392731","1614746","1785385","-13.749221239749161","-21.9926794500906","4749487","4673104","1.6345238625119407","112/10/2 Brainstorm成為子公司，共同控制企業重編去年合併營收。本月較去年3月不含Brainstorm增加205,615千元及17.32%。"
"113/04/02","113/3","6164","華興","光電業","81765","38723","68919","111.15357797691294","18.639272189091542","214369","172999","23.913433025624425","-"
"113/04/02","113/3","6215","和椿","其他電子業","112632","77153","100364","45.985250087488495","12.223506436570881","290019","263924","9.887316045528259","-"
"113/04/02","113/3","6235","華孚","電腦及週邊設備業","556363","474555","491407","17.238886957254692","13.21837092267713","1561106","1333350","17.08148648141898","-"
"113/04/02","113/3","6438","迅得","其他電子業","474554","371845","513138","27.621455176215896","-7.519224847896667","1273301","1568491","-18.819999604715616","-"
"113/04/02","113/3","6491","晶碩","生技醫療業","591518","566213","517491","4.4691661971731484","14.304983081831375","1725121","1459658","18.186657422492118","-"
"113/04/02","113/3","8215","明基材","光電業","1611225","1413213","1482096","14.01147597708201","8.712593516209477","4593008","4066944","12.935117867371668","-"
"113/04/02","113/3","8374","羅昇","電機機械","259871","181670","304481","43.04563219023504","-14.651160499341502","702408","800140","-12.214362486564852","-"
